PERMNO,2011-07-29,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-30,2012-01-31,2012-02-29,2012-03-30,2012-04-30,2012-05-31,2012-06-29,2012-07-31,2012-08-31,2012-09-28,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-28,2013-04-30,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31
10025,-0.072285,0.004062,-0.183523,0.217568,-0.099149,0.156057,0.173712,0.055993,-0.002293,0.001724,-0.009751,0.261222,0.07876,0.071733,0.203376,0.055125,-0.053652,-0.020992,0.086949,0.095527,0.018148,0.073667,0.08275,-0.108888,0.084823,-0.030483,-0.05023,-0.200377,-0.132279,0.024632,-0.166383,-0.032243,-0.129517,-0.039892,-0.105278,0.094132,0.168626,0.039264,-0.105785,0.214418,-0.027397,0.300022,-0.138263,0.010976,0.086459
10032,-0.152255,-0.099288,-0.148984,0.136163,0.05642,0.008471,0.322863,-0.041966,0.008357,-0.074879,-0.135002,0.007143,0.01844,0.040738,0.013382,-0.111588,-0.139725,0.114471,-0.010853,-0.045455,-0.002053,0.10942,0.081943,0.024332,0.169957,-0.063769,0.135003,0.03014,0.054598,0.072331,-0.096789,0.05243,-0.026245,0.046169,-0.003817,0.036638,-0.091476,0.047292,-0.103423,0.119686,-0.05659,0.056396,-0.080563,0.062286,0.012919
10051,-0.141398,-0.10614,0.005857,-0.080466,-0.078872,0.168125,0.048154,0.056151,0.056549,0.07731,-0.084076,0.188688,0.00507,0.110206,-0.002796,-0.111462,0.02998,0.047874,0.050073,0.03237,0.063048,-0.036156,0.050016,-0.008775,0.167246,-0.168202,0.099316,0.087085,0.058311,0.012873,-0.140569,0.048506,-0.049929,0.029394,-0.123738,0.035221,0.006359,-0.292259,-0.083929,0.166179,-0.103636,0.020979,-0.014612,0.199722,-0.1236
10104,-0.068976,-0.08208,0.023869,0.14231,-0.043332,-0.181818,0.102144,0.037044,-0.003247,0.010288,-0.09966,0.122025,0.018855,0.048013,-0.006003,-0.010172,0.035232,0.041181,0.065726,-0.035764,-0.055783,0.013919,0.030506,-0.090882,0.05731,-0.015147,0.041117,0.013567,0.053433,0.08416,-0.03241,0.059892,0.046024,0.0022,0.027886,-0.035459,-0.000493,0.028225,-0.078257,0.02325,0.086044,0.060363,-0.065822,0.046073,-0.01529
10107,0.053846,-0.023358,-0.064286,0.069908,-0.031919,0.014855,0.137519,0.081612,0.016226,-0.007441,-0.081993,0.047962,-0.036613,0.052596,-0.034393,-0.040995,-0.05939,0.003558,0.027717,0.021129,0.028957,0.15714,0.061329,-0.010172,-0.078304,0.056219,-0.003593,0.063852,0.084875,-0.018883,0.011494,0.01982,0.069956,-0.014394,0.020297,0.018564,0.035012,0.059082,0.020471,0.012726,0.02492,-0.028446,-0.130248,0.093069,-0.072862
10138,-0.058668,-0.058451,-0.100972,0.106134,0.074186,0.008809,0.015628,0.064834,0.065757,-0.033461,-0.087539,0.099149,-0.035102,0.011358,0.035807,0.02496,-0.003237,0.027634,0.09664,-0.003081,0.05703,-0.031655,0.047035,-0.030694,0.027869,-0.067783,0.030938,0.076185,0.039401,0.045861,-0.063627,0.034804,0.019958,-0.002672,-0.007305,0.040721,-0.079967,0.042944,-0.026607,0.047066,0.016811,0.033904,-0.083159,0.049289,-0.013317
10145,-0.108911,-0.093362,-0.081573,0.19335,0.040506,0.003693,0.067893,0.032779,0.024845,-0.006388,-0.076286,0.003234,0.039577,0.013308,0.022241,0.024937,0.008165,0.034893,0.075154,0.033265,0.074893,-0.024021,0.072478,0.011216,0.045879,-0.036153,0.043609,0.044436,0.025712,0.032313,-0.001532,0.040118,-0.017789,0.001509,0.007535,-0.002147,-0.012049,0.041925,-0.022157,0.032216,0.036075,0.00858,-0.021617,0.056644,0.014886
10147,-0.053358,-0.133819,-0.070828,0.167699,-0.0612,-0.063885,0.195915,0.074922,0.07909,-0.05589,-0.154555,0.074633,0.02263,0.003052,0.037277,-0.10451,0.01638,0.019339,-0.027273,-0.065014,0.038244,-0.061113,0.103879,-0.042003,0.107113,-0.014149,-0.004655,-0.058255,-0.009181,0.054507,-0.032207,0.087871,0.043231,-0.058738,0.029457,-0.003953,0.112377,0.00785,-0.005249,-0.018113,0.056387,-0.01631,-0.12811,0.116082,-0.11282
10180,-0.01,0.160173,-0.029851,0.152564,0.196885,0.033457,0.030576,0.093368,-0.066241,0.036752,0.125309,0.155311,-0.133164,0.012436,-0.044798,-0.091528,0.123231,-0.009637,-0.02021,0.055004,0.001448,0.088214,-0.034552,-0.069511,0.049556,0.266385,0.095159,0.038618,0.259785,-0.043883,-0.077985,0.137445,-0.147947,0.146364,0.10904,0.188774,0.020451,0.150015,-0.070477,0.228288,-0.100561,-0.096581,0.176243,0.263739,-0.117079
10182,-0.045408,0.008785,-0.081776,0.137636,0.001017,0.003656,0.050799,0.030046,0.014585,-0.008662,-0.114891,0.011762,0.040066,-0.030339,-0.068518,-0.020804,-0.00316,0.03079,0.118164,0.042231,-0.140784,0.025005,0.072544,-0.060455,0.091527,-0.04358,0.015256,0.040072,-0.001348,-0.00463,0.044961,0.068249,0.058333,0.025098,-0.047688,0.05058,0.004319,0.075012,-0.128,0.014611,0.043704,0.014439,-0.096948,0.042032,-0.029076
10220,-0.09852,-0.078062,-0.151107,0.124808,0.031378,0.064374,0.029412,0.035815,0.000389,-0.04466,0.002032,-0.006085,0.02449,-0.017131,0.032428,0.011779,-0.019402,0.040095,0.016794,0.017267,0.051443,-0.042591,0.094118,0.011792,0.016983,0.017354,0.088093,-0.044781,0.011177,0.052972,0.002632,-0.035589,0.007282,0.047892,-0.068123,0.004332,-0.043746,-0.060889,-0.046816,0.032864,0.03951,0.022612,-0.10132,0.143592,0.033827
10258,0.011268,-0.130919,-0.267628,0.404814,-0.17134,-0.022556,0.823077,-0.200422,0.343008,-0.104126,-0.085526,0.241007,-0.000966,0.090909,0.117021,-0.125397,0.07804,0.12963,0.111773,0.276139,0.216386,0.126943,-0.020307,0.220962,0.31198,0.060547,0.631216,-0.353655,0.212227,-0.127882,0.064849,0.133437,-0.395277,-0.151104,-0.026,0.117043,-0.197917,0.215432,-0.185418,0.292438,0.210746,-0.100099,0.173699,0.192344,0.091229
10299,-0.112659,-0.014676,-0.03423,0.168535,-0.044568,-0.019589,0.10989,0.012001,0.006571,-0.029377,-0.105167,0.0796,0.029365,0.031783,-0.036488,-0.017599,0.069738,0.041278,0.067638,0.044511,0.003137,-0.048736,0.035206,-0.018255,0.100841,-0.048453,0.034699,0.037695,0.040214,0.070505,-0.022173,0.057701,0.039496,-0.086055,0.043371,0.019714,-0.062354,0.028209,-0.015961,-0.034918,0.080766,-0.009342,-0.014474,0.078883,-0.028743
10302,-0.02649,-0.230321,-0.054924,0.282565,-0.002093,-0.114316,0.023387,0.003199,-0.087536,-0.007678,-0.149581,0.010614,-0.191377,0.086062,-0.068475,-0.074264,0.024218,0.078818,-0.052583,0.025316,0.05793,-0.085222,0.11447,-0.036016,0.189655,-0.1132,-0.164753,-0.007491,0.044744,0.094943,-0.04381,-0.0249,0.060266,-0.077897,0.082365,0.075122,-0.073327,0.092977,-0.09638,0.003544,0.069627,0.357547,0.031513,0.001358,-0.035932
10318,-0.000228,-0.056431,-0.09661,-0.011793,0.125576,-0.018795,-0.066601,-0.279863,0.110092,-0.044628,0.004844,0.122934,0.022079,0.094509,0.006853,-0.051729,0.026414,0.025734,0.026063,0.078342,0.089511,-0.013655,0.107753,-0.067902,0.111955,-0.038183,0.081279,0.106473,0.033007,-0.003212,-0.07121,-0.073551,0.031875,0.188603,-0.109927,-0.028654,-0.066468,0.0288,0.099728,0.143716,0.004637,0.029846,-0.205132,0.112328,-0.060081
10363,-0.212234,-0.04659,0.045326,-0.044038,0.261517,0.06236,-0.131676,-0.03715,0.00759,-0.016949,-0.104087,0.097648,0.005195,-0.044574,0.199459,-0.127396,-0.02907,-0.021291,0.084296,0.037618,0.441088,-0.075472,-0.160998,0.202703,0.011236,0.051556,-0.092392,0.256403,-0.090808,-0.010192,-0.115733,-0.034467,-0.06657,-0.056331,0.002191,0.13224,-0.078668,0.185437,0.410075,0.034472,0.126931,0.145699,0.036837,0.114053,0.110299
10375,-0.074638,-0.179245,-0.122605,0.167031,-0.054511,0.025845,-0.022287,0.073705,0.102969,-0.031119,0.027899,-0.026294,-0.100174,0.081317,0.073741,-0.041876,0.042832,0.022727,0.12428,0.009517,0.088792,-0.027406,-0.006873,-0.015278,0.074753,-0.074803,0.01637,0.063025,0.035573,0.037013,-0.009231,0.004348,0.033499,-0.057623,0.015287,0.030208,-0.034209,0.00253,-0.017089,-0.005151,0.007767,0.02384,-0.07489,0.070748,0.001912
10382,0.014603,-0.077559,-0.154002,0.135587,0.006015,-0.03707,0.049984,0.122117,-0.038735,-0.14227,-0.122723,0.117668,-0.04824,0.004452,0.077736,-0.088896,0.039931,0.152332,0.058753,0.008211,-0.019096,-0.06012,0.078891,-0.029162,0.020706,-0.009714,0.040509,-0.059789,0.085478,0.055465,-0.037018,0.081183,0.094232,-0.090184,0.001502,0.099474,-0.114175,0.071263,-0.122051,0.039484,0.038512,0.001019,-0.095396,0.202756,0.00491
10397,-0.05988,-0.011465,-0.103093,0.137782,0.010127,0.028157,0.086307,-0.073096,0.026424,-0.047868,0.030483,-0.016434,-0.033905,-0.035962,-0.037753,0.08427,0.001295,-0.000922,0.092294,-0.025402,0.048653,-0.04681,0.090157,-0.032361,-0.004551,-0.042394,0.012587,-0.005144,0.039292,0.02742,0.055803,-0.008058,-0.013153,0.005488,0.03125,0.004167,-0.070917,0.013019,0.012048,0.094841,0.126362,0.005803,-0.084109,0.12408,-0.02058
10421,-0.146082,-0.008554,-0.094118,0.165074,-0.095451,0.04122,0.01668,-0.107813,-0.028897,-0.186425,-0.215795,-0.068085,0.071975,0.252857,0.18244,0.059051,0.059415,0.075065,0.017657,0.107595,0.149286,-0.108411,-0.020266,-0.031384,0.116691,-0.147487,0.129558,0.035813,0.12367,-0.122485,-0.120027,-0.023828,0.007874,-0.090909,-0.013793,0.071678,-0.125205,-0.160898,-0.128205,0.48072,0.085069,0.0656,-0.05497,0.16494,0.002052
10516,0.007629,-0.057275,-0.128862,0.166465,0.046821,-0.050465,0.001049,0.095879,0.014744,-0.026216,0.039734,-0.074028,-0.116192,0.032005,0.016075,-0.012509,0.001304,0.025843,0.041621,0.123379,0.058694,0.006226,-0.044785,0.052125,0.075494,-0.029339,0.046294,0.110206,-0.011247,0.078261,-0.090323,0.034448,0.068719,0.007836,0.033158,-0.018469,0.051916,0.079741,0.02487,-0.080235,0.125957,-0.012908,-0.103269,0.032811,-0.010025
10530,-0.096226,-0.143519,-0.149189,0.15756,0.060373,-0.015159,-0.07431,0.044151,0.075472,0.060372,-0.0691,0.080253,-0.183284,0.06942,0.084842,0.029718,0.023798,0.020469,0.034568,0.011933,0.076179,-0.110673,0.074421,-0.00509,0.150233,-0.082895,0.050734,0.046083,0.002023,0.079333,-0.133811,-0.084284,0.044583,-0.083525,0.032048,0.011269,-0.035368,-0.007103,-0.096065,0.04805,-0.101942,0.000608,0.063183,0.144509,-0.036364
10606,-0.053092,-0.152103,-0.058969,0.181614,0.216577,-0.10445,0.126863,0.028534,0.030602,-0.096442,-0.099403,0.008775,0.008998,0.092747,0.032196,0.063442,0.01914,0.051357,0.072342,0.020607,0.022369,-0.019379,0.014237,-0.047479,0.153066,-0.006503,0.088014,0.025013,0.042748,0.029108,-0.094553,0.102285,-0.04755,-0.093542,0.05094,0.107066,-0.052973,0.085186,-0.079633,0.040858,-0.00033,0.049289,-0.07582,-0.059696,0.000909
10629,-0.033816,-0.091,-0.044593,0.177363,0.068385,0.060976,0.036251,0.016212,0.024597,-0.06043,-0.053745,0.02354,0.00092,0.017463,0.023744,-0.042819,0.017707,-0.016667,0.091337,-0.009491,0.065141,-0.058678,0.020193,0.050435,0.046358,-0.035601,0.004971,0.031327,0.02558,-0.007081,-0.061807,0.039696,0.099262,-0.071642,-0.006431,0.047386,-0.040562,0.014634,-0.029935,0.066722,-0.006255,0.057982,-0.099099,0.079167,0.024162
10656,-0.090909,-0.139344,0.007619,0.198488,0.080442,0.021898,0.066667,0.126359,0.144753,-0.051633,-0.052222,0.07034,-0.027685,0.018223,0.063199,0.060318,-0.00499,0.013541,0.038806,-0.002874,0.068684,-0.060524,0.224038,0.098586,0.114142,-0.052835,0.066667,0.021127,0.349843,0.164422,-0.147541,-0.14212,0.101695,0.089099,-0.203382,0.044177,-0.076075,0.146778,0.008325,0.177019,-0.076517,0.036191,-0.105991,0.103608,0.03036
10667,-0.148697,-0.005179,-0.090866,0.214992,-0.237361,-0.073595,0.263796,0.242802,0.010039,-0.103593,-0.360341,0.112667,0.061714,-0.006772,-0.023295,-0.053519,-0.071297,-0.02642,-0.002094,-0.053815,0.185745,-0.046144,-0.007638,0.14753,0.016769,0.04453,0.034737,-0.08647,-0.239421,0.015373,-0.113915,0.045566,-0.162646,-0.026022,-0.067748,0.140225,-0.057451,-0.035238,-0.120434,0.035915,0.069339,0.108409,-0.018282,0.009311,0.01845
10693,-0.070476,-0.123361,-0.30201,0.182853,-0.021518,0.022569,0.091681,0.055469,0.005894,0.093262,-0.145154,0.215256,-0.036973,0.022321,0.050655,-0.080216,-0.006326,-0.040018,0.13027,0.010897,0.093284,0.042852,0.065091,-0.016729,0.130556,-0.033784,0.101716,0.018271,0.019368,-0.063984,-0.066026,0.050129,0.104957,-0.035903,0.013857,0.026481,0.068581,0.027655,-0.057883,0.092954,0.019836,-0.05981,0.146646,-0.014512,0.025541
10696,-0.036245,-0.07505,-0.090632,0.159543,-0.020554,0.018731,0.07065,0.054222,0.046606,0.01297,-0.040689,0.071037,-0.028939,0.016826,0.038143,0.011212,0.028453,0.026497,0.016196,0.024032,0.068337,0.036991,-0.043354,0.002868,0.101018,0.000312,0.049652,0.036418,0.04927,0.074711,-0.050804,0.035682,-0.023428,0.072147,-0.011023,0.003494,0.022381,0.045403,0.002559,0.074959,0.028929,-0.007274,0.021981,0.076382,0.017036
10812,-0.074879,-0.007833,-0.106579,-0.011062,0.025354,0.040727,0.037089,-0.023617,0.000691,-0.043568,0.029646,0.00632,-0.028651,-0.063309,0.02765,0.044162,-0.015771,0.02622,0.058148,-0.0188,-0.015475,0.017241,0.05748,-0.031707,0.060901,-0.054348,0.020833,0.01198,0.276462,0.071468,0.073394,-0.032289,0.114328,-0.040987,-0.006204,-0.012254,0.052718,0.043846,0.022601,0.049249,0.05529,0.018847,-0.048871,-0.020241,-0.055224
10838,-0.390278,-0.134396,-0.113158,0.053412,-0.012958,-0.200913,0.071071,0.147049,0.163372,-0.187906,0.674725,0.2021,0.021834,-0.16453,-0.071611,-0.338843,-0.158333,-0.074257,0.149733,-0.023256,0.295238,-0.011029,-0.107807,-0.166667,0.19,-0.004202,0.362869,-0.263158,0.037815,1.538461,0.106858,-0.146974,-0.410473,-0.120344,0.361564,0.0,-0.220096,0.018405,-0.23494,0.125984,-0.122378,0.091633,-0.062044,0.256809,0.043344
10860,0.078546,-0.203261,0.085948,0.167085,0.022605,-0.041053,0.220637,-0.098022,0.145563,-0.001741,-0.097646,0.08599,-0.05605,-0.084826,0.144181,-0.184518,-0.15011,-0.067532,-0.018106,-0.211348,-0.028777,-0.174074,-0.017937,-0.114155,0.141752,0.079007,0.257322,0.084859,-0.056748,0.022764,-0.066773,0.182283,0.148415,-0.178168,-0.035115,0.362342,-0.044135,0.012151,-0.133253,0.239612,0.006704,0.125416,-0.093688,-0.220892,-0.086592
10866,-0.051643,-0.185149,-0.126367,0.251404,-0.058361,0.06913,0.061798,0.140741,-0.137291,-0.013001,0.305159,0.091674,0.06584,0.090843,0.072618,-0.015596,0.207224,-0.032021,-0.061513,-0.048724,-0.020122,0.056875,0.230041,0.038462,0.104041,-0.056794,0.049955,-0.043886,0.146613,0.096386,-0.158493,0.038007,0.082588,-0.111153,0.193302,0.018828,-0.01468,0.058531,-0.088472,-0.019904,0.232042,-0.016483,-0.116952,0.05671,0.095667
10874,0.070098,-0.272103,-0.116425,0.257835,0.057191,-0.030075,0.181617,0.120431,0.076955,0.020971,-0.166984,0.014612,-0.010351,0.077308,-0.044745,0.042422,0.094532,0.128832,0.243039,0.007743,-0.060922,-0.07481,0.060328,-0.048257,0.181534,-0.036821,0.097635,0.130794,0.014846,0.007877,-0.09987,0.08273,0.011163,-0.112608,0.074894,-0.022506,-0.042725,0.069303,-0.02,0.110584,0.064209,0.031804,0.058915,0.001566,-0.051438
10890,-0.191829,-0.153105,-0.108016,0.656469,-0.070796,-0.183851,0.063927,-0.109204,0.055674,-0.053753,-0.158092,0.24443,-0.006138,0.087494,-0.014671,-0.181076,0.01349,0.001157,0.283815,0.034669,-0.010009,-0.159121,0.079456,0.068765,0.175351,-0.030069,0.001192,0.04605,0.042505,0.22206,0.020852,-0.001459,-0.109877,-0.199934,-0.036931,0.054112,-0.13945,0.099577,0.0,0.095258,0.042122,0.103293,-0.256106,0.032376,0.025177
10909,0.088038,-0.007971,0.038811,-0.074285,-0.038625,0.004428,-0.005878,0.212514,0.031559,0.064995,-0.038836,0.060287,-0.105734,-0.010552,0.058084,-0.015484,0.013519,0.003756,0.065024,0.059479,0.083238,0.021427,0.014364,-0.021088,0.019877,-0.06,0.140903,0.066223,0.025701,-0.030103,0.020631,0.078748,-0.083428,-0.088,0.053606,-0.045698,0.070182,0.044565,0.033125,0.063287,0.016735,0.004037,0.026137,0.086059,0.016653
10932,-0.028544,-0.111166,-0.154696,0.28366,0.005601,0.035025,0.039725,0.034434,0.036106,0.002647,-0.103827,0.068574,-0.052632,0.04191,0.113722,-0.07173,-0.049091,-0.012968,0.082725,-0.005843,0.101726,-0.036686,0.005563,0.099786,0.060748,-0.023128,-0.035147,0.09244,0.062388,0.057666,-0.02694,0.025709,0.002906,-0.02962,-0.000664,0.054144,-0.090996,0.035926,-0.012203,0.075498,0.01053,0.033683,-0.061482,0.13757,0.07298
11144,0.0532,-0.125915,-0.061139,0.108423,0.031528,0.045455,0.126687,0.099135,0.315981,0.152605,0.078,-0.013358,-0.120346,0.257803,0.185248,0.026724,-0.06885,-0.06312,0.091085,-0.084661,-0.015791,-0.053373,0.056172,-0.230794,0.055911,0.015796,0.073365,-0.028603,0.100766,-0.152802,-0.043228,-0.042599,-0.026966,-0.175058,-0.145424,-0.131406,-0.036309,0.059102,-0.166667,0.034821,-0.056326,0.06887,-0.037866,0.00805,-0.055901
11154,-0.116883,-0.136364,-0.229102,0.259036,-0.076555,0.050086,0.12829,0.021866,-0.051355,-0.069173,-0.030695,0.016667,-0.040984,0.003419,-0.085179,-0.089385,0.05317,0.157282,0.005034,0.108514,0.006024,0.181138,-0.032953,0.056357,-0.050869,-0.048366,0.076923,0.071429,0.028572,0.045139,-0.080842,0.048193,-0.01954,0.017585,0.012673,-0.021615,-0.073256,0.107905,-0.088335,0.11677,0.003337,-0.078714,0.01083,-0.010714,0.022864
11174,0.025455,-0.111998,-0.034276,0.150241,0.076693,0.09015,-0.031649,0.175804,-0.014122,0.044566,-0.060731,-0.099652,0.180952,-0.005885,-0.003069,-0.076094,-0.121638,0.098103,-0.017275,0.199397,-0.021357,-0.010056,-0.025502,-0.041029,0.000925,-0.05268,0.100244,0.013966,-0.081111,0.004759,-0.087142,-0.059922,0.011589,-0.014184,0.003044,0.091034,-0.05335,0.13141,-0.065392,0.161404,0.11679,0.039533,-0.005058,0.001789,0.019641
11208,-0.036462,-0.109501,-0.121157,0.09514,0.036827,0.108379,-0.055326,0.027098,0.034894,-0.023141,-0.114213,0.063992,-0.063177,0.021195,-0.001887,0.119772,0.022071,0.113787,0.076404,0.065414,0.016982,0.036106,0.10641,0.021935,0.019878,-0.069843,-0.054133,-0.085238,0.161377,0.012791,-0.15917,0.097394,0.079375,-0.007563,0.058617,0.02381,-0.13308,-0.003759,-0.05283,0.039386,-0.040462,0.121151,-0.033033,0.083851,-0.059026
11267,-0.034028,-0.087707,-0.102049,0.136082,-0.001561,-0.04533,0.107851,0.01119,0.028034,0.006874,0.031261,0.070035,-0.080762,0.048929,0.020088,-0.044766,0.023961,0.021335,0.005104,-0.069278,-0.057288,-0.005385,0.037068,0.004418,0.127805,-0.106217,0.11407,0.071122,0.135803,-0.064336,-0.120755,0.003934,-0.026006,0.053624,0.012285,0.081831,-0.001294,0.123461,0.002596,0.035113,0.124755,0.058824,0.005216,0.045755,-0.100135
11308,0.0107,0.035877,-0.034351,0.011249,-0.009075,0.040756,-0.034872,0.034503,0.066705,0.031212,-0.020833,0.053125,0.03338,-0.074257,0.020989,-0.019773,0.026762,-0.04404,0.02731,0.039742,0.051653,0.046736,-0.05528,0.010002,-0.000748,-0.047405,-0.000524,0.044615,0.022744,0.027868,-0.084483,0.010048,0.020026,0.055096,0.002942,0.042899,-0.072474,0.061848,0.029842,-0.018284,0.077722,-0.05822,-0.02487,0.051737,-0.055889
11343,-0.03265,-0.148204,0.216071,0.042105,0.039798,-0.026035,0.016158,-0.030821,0.077845,-0.026777,0.067816,-0.165999,-0.196202,0.199837,0.011711,0.021064,0.05894,-0.008756,0.061619,0.00832,0.07668,0.121567,0.129448,-0.03767,0.063535,-0.07064,-0.000611,-0.031116,0.081158,0.058385,0.030693,0.03349,0.021473,0.048159,0.126899,0.050697,-0.06286,0.026677,-0.049829,-0.045139,0.033698,-0.032082,-0.04576,0.065658,-0.065251
11369,-0.025327,-0.058257,-0.092568,0.181682,0.125527,0.069611,-0.013796,0.050215,-0.003757,-0.0842,-0.030647,0.022248,-0.099691,0.044206,0.03658,-0.04456,0.037815,-0.002024,0.047247,0.020008,0.035385,-0.048854,0.027657,0.028835,0.070699,-0.019421,0.054735,0.020704,0.097025,-0.020955,-0.049603,-0.01539,0.051308,-0.044742,0.035897,0.077558,-0.007733,0.02712,-0.051593,0.108309,0.018086,0.082235,-0.097196,0.10766,0.012016
11378,-0.124118,0.062458,-0.079014,0.094715,-0.067085,0.05578,0.040102,-0.075275,0.033091,-0.113389,-0.03396,0.063575,-0.026723,-0.013728,0.048352,-0.134172,0.092817,0.047267,0.131171,0.063591,0.060961,-0.058564,0.059859,-0.076412,0.07494,-0.040714,0.10407,0.050553,0.038095,-0.00676,-0.01264,-0.008863,0.084451,-0.082455,0.070894,0.041026,-0.050605,0.001887,-0.087571,0.085139,-0.029482,0.018128,-0.050529,0.045616,0.023752
11403,-0.02178,-0.105518,0.0,0.198052,-0.011743,-0.04936,0.015385,0.114583,0.005947,-0.014358,-0.125964,0.077451,0.11192,0.080196,-0.025379,-0.016712,0.007905,0.059608,0.031088,0.016511,-0.016243,-0.009332,0.096377,-0.042961,0.006906,-0.076132,0.00297,-0.04034,0.021982,0.058113,0.007133,0.085694,0.013699,0.001287,0.072622,0.047933,-0.037736,0.047534,-0.023823,0.042998,0.051253,0.005299,-0.05166,0.020289,0.004631
11404,-0.012021,0.080038,0.01441,0.014907,0.037152,0.043925,-0.049492,-0.004325,0.005508,0.017631,0.025484,0.030318,0.037144,-0.050775,-0.012042,0.008182,-0.065999,-0.004481,0.024127,0.048084,0.034407,0.04293,-0.093716,0.021728,0.027268,-0.051002,-0.019385,0.055858,-0.041137,0.001268,-0.015738,0.04172,-0.042819,0.08164,-0.041186,0.049627,-0.028576,0.043323,-0.021247,0.118249,0.006629,0.045289,0.049538,-0.079244,-0.033893
11481,0.033596,-0.168106,-0.102564,0.163946,0.258913,0.027907,0.121267,-0.058111,-0.006009,-0.117012,-0.146699,0.146552,0.087218,0.108345,-0.01584,-0.079437,-0.223815,-0.041617,0.013648,-0.014382,0.011853,0.147349,0.066093,-0.533266,0.2527,-0.019828,-0.12577,0.144869,0.224077,0.055994,-0.076818,0.202136,0.050462,-0.075571,-0.004119,-0.085038,-0.122292,0.235271,-0.081606,0.040197,0.104068,0.048118,0.344909,0.153392,0.156012
11533,-0.014901,-0.141176,-0.144814,0.252863,0.329799,-0.014023,0.011161,0.11755,0.084486,-0.022779,-0.051748,0.039843,0.023888,-0.013398,0.03676,0.052869,-0.081116,-0.017982,0.072329,-0.015753,0.030447,0.019479,0.0541,-0.066218,0.090116,0.002402,0.104233,0.036179,0.030203,0.065243,-0.134946,-0.011222,0.029592,0.033984,0.03007,0.082513,-0.10367,0.017848,-0.052433,0.130672,0.152167,0.007523,-0.01314,0.192992,0.042528
11547,-0.087079,-0.098077,-0.018763,0.141678,0.000761,-0.023583,0.145306,0.014966,0.006032,-0.042852,-0.062959,0.038447,-0.008312,-0.015306,0.060326,-0.028449,-0.002138,0.017011,0.050805,0.059244,0.099646,-0.080153,0.051069,-0.046766,0.049936,-0.052134,0.097202,0.067958,0.122415,0.048882,-0.012941,0.111323,-0.063707,0.066283,-0.030866,-0.012249,-0.116648,0.012821,-0.062278,0.139794,0.010479,0.064341,0.059609,0.076826,-0.011891
11552,-0.01691,0.002867,0.041029,0.047165,-0.026994,0.071655,0.075296,0.008736,0.057211,-0.059275,-0.064107,-0.059927,0.06702,0.052293,0.060522,-0.039922,0.071438,-0.001527,0.261119,0.043553,0.122398,0.018635,0.04726,-0.053943,0.255428,-0.046847,0.101136,-0.036636,0.089434,0.044495,-0.100836,0.058053,-0.131571,0.05308,0.04095,0.122394,0.014788,0.090304,-0.002526,0.12988,0.06163,-0.016096,0.06526,0.019889,-0.051428
11581,-0.079016,-0.187374,-0.014442,0.139241,0.018667,-0.010035,0.117232,0.111243,0.029109,-0.059331,-0.040337,0.03783,0.047864,-0.011947,0.019203,-0.013277,0.018768,-0.029892,0.056252,0.031547,0.006906,0.022208,0.086262,-0.030294,0.070974,0.011611,0.088466,-0.032956,0.040469,-0.062436,-0.066048,0.024547,-0.025956,-0.008492,0.049321,-0.027019,-0.066242,0.044919,-0.093982,0.038336,-0.073525,-0.072207,-0.151615,0.100822,-0.066824
11600,-0.00499,-0.070995,-0.126705,0.204301,-0.022998,-0.029493,0.078594,0.025702,0.038104,0.023175,-0.09888,0.023378,-0.038879,-0.001926,0.053074,-0.034085,0.077633,-0.000882,0.054279,-0.008142,0.026135,-0.002121,-0.013932,-0.01766,0.046875,-0.020756,0.035425,0.084994,0.009659,0.020658,-0.048267,-0.016472,0.016004,-0.030626,0.059601,0.00267,-0.019641,0.027682,-0.042737,0.113377,0.082923,-0.029897,-0.060916,0.05967,-0.038625
11618,-0.061406,-0.005349,-0.005677,0.148738,0.093463,0.047059,0.074295,0.128535,0.026955,-0.131423,-0.055318,-0.088628,0.074423,-0.000696,-0.002321,0.044662,-0.064653,0.127721,0.067095,0.039251,-0.005811,-0.040522,0.063812,-0.122461,0.076217,-0.102794,0.14276,-0.00378,-0.066225,0.021062,-0.07009,0.074209,0.044713,0.020893,-0.026558,0.01518,-0.098707,0.020854,-0.008392,-0.013586,0.02634,0.052212,-0.060555,-0.064189,-0.002768
11641,-0.062082,-0.050642,-0.043276,0.269358,-0.001237,0.046209,-0.001776,0.070344,-0.033027,-0.035989,0.0837,0.077894,0.10972,0.06888,0.024284,-0.081595,-0.004196,0.07841,0.184503,0.024474,0.077026,-0.241501,0.02323,-0.09562,-0.007974,0.21822,0.040127,0.027207,0.279963,0.041101,-0.11689,0.049951,-0.010922,0.041924,-0.134184,0.071577,-0.027106,0.167363,-0.053017,-0.149775,-0.060343,-0.007886,-0.056325,0.275331,-0.120778
